time,target,q,dq,tau
1.72,-5.410264855515791,-9.46373202268714,1.0620300968611032,192.1581142649843
1.73,-5.00222139260919,-9.433906415979532,2.982560670760667,192.0530573899564
1.74,-4.579372548428232,-9.384904944825834,4.900147115369771,191.75864446091043
1.75,-4.142135623730955,-9.316775958805518,6.812898602031595,191.27514866618242
1.76,-3.69094211857378,-9.22958666971186,8.718928909365717,190.60303073341225
1.77,-3.2262373064730454,-9.12342308677188,10.616358293998186,189.74293846324684
1.78,-2.748479794973793,-8.998389933224402,12.503315354747784,188.69570607495982
1.79,-2.25814107305953,-8.854610544340419,14.37793888839831,187.46235336505262
1.8,-1.7557050458494672,-8.69222674698843,16.238379735198922,186.04408468006133
1.81,-1.2416675570426179,-8.511398720865945,18.08280261224851,184.44228770495894
1.82,-0.7165358995799274,-8.31230484153659,19.909387932935324,182.65853206868124
1.83,-0.18082831500742458,-8.095141505430389,21.716333610620122,180.69456776847994
1.84,0.364926517965694,-7.860122936982693,23.50185684476959,178.55232341494698
1.85,0.9201900052090615,-7.607480978105024,25.264195887766824,176.23390429972343
1.86,1.4844141686985566,-7.337464860198552,27.001611790647186,173.74159028803604
1.87,2.0570421873043934,-7.050340958938242,28.71239012603102,171.07783353838357
1.8800000000000001,2.6375089463064425,-6.74639253207275,30.394842686549236,168.24525605182157
1.8900000000000001,3.2252415950941717,-6.425919440501911,32.04730915708391,165.24664705346726
1.9000000000000001,3.8196601125010465,-6.089237852910175,33.66815875917356,162.08496020896507
1.9100000000000001,4.420177879215425,-5.7366799342505574,35.25579186596181,158.76331067882546
1.92,5.026202256702893,-5.368593518389571,36.808641586098624,155.28497201368106
1.93,5.637135172069134,-4.985341765239221,38.325175315035,151.65337289363708
1.94,6.252373708285506,-4.587302802717365,39.80389625218567,147.87209371506788
1.95,6.871310699195378,-4.17486935389268,41.24334488246854,143.94486302828687
1.96,7.493335328713907,-3.7484483496850225,42.642100420765715,139.8755538297175
1.97,8.117833733629702,-3.3084605275061363,43.99878221788861,135.66817971228932
1.98,8.744189609413734,-2.8553400162394595,45.31205112666767,131.32689087790578
1.99,9.371784818437433,-2.3895339079711846,46.5806108268275,126.85597001598308
